"","depth","count"
"1",0,200
"2",400,41
"3",450,43
"4",500,47
"5",501,46
"6",502,48
"7",503,46
"8",504,47
"9",505,45
"10",506,49
"11",507,47
"12",508,44
"13",509,49
"14",510,45
"15",511,49
"16",512,48
"17",513,49
"18",514,48
"19",515,47
"20",516,44
"21",517,46
"22",518,45
"23",519,44
"24",520,44
"25",521,41
"26",522,43
"27",523,43
"28",524,46
"29",525,41
"30",526,43
"31",527,46
"32",528,38
"33",529,43
"34",530,43
"35",531,42
"36",532,45
"37",533,46
"38",534,44
"39",535,47
"40",536,48
"41",537,47
"42",538,47
"43",539,47
"44",540,48
"45",541,48
"46",542,45
"47",543,47
"48",544,45
"49",545,46
"50",546,47
"51",547,46
"52",548,49
"53",549,46
"54",550,49
"55",600,48
"56",650,44
"57",700,42
"58",750,49
"59",800,49
"60",850,39
"61",900,44
"62",950,45
"63",1000,47
